stock_code,stock_name,board,subsector,manual_role,notes
300308.SZ,中际旭创,AI科技,光模块与高速互联,,
002463.SZ,沪电股份,AI科技,光模块与高速互联,,
300502.SZ,新易盛,AI科技,光模块与高速互联,,
